Depth,Density
382.68,2.43
382.83,2.53
382.98,2.56
383.13,2.55
383.29,2.54
383.44,2.53
383.59,2.54
383.74,2.54
383.9,2.52
384.05,2.47
384.2,2.36
384.35,2.23
384.51,2.09
384.66,1.96
384.81,1.86
384.96,1.83
385.11,1.87
385.27,1.98
385.42,2.11
385.57,2.17
385.72,2.15
385.88,2.1
386.03,2.07
386.18,2.06
386.33,2.07
386.49,2.07
386.64,2.04
386.79,2.01
386.94,2
387.1,2.01
387.25,2.03
387.4,2.03
387.55,2.03
387.71,2.05
387.86,2.12
388.01,2.25
388.16,2.4
388.32,2.5
388.47,2.55
388.62,2.56
388.77,2.57
388.92,2.56
389.08,2.45
389.23,2.23
389.38,2
389.53,1.87
389.69,1.83
389.84,1.87
389.99,1.98
390.14,2.1
390.3,2.16
390.45,2.18
390.6,2.19
390.75,2.21
390.91,2.27
391.06,2.35
391.21,2.44
391.36,2.5
391.52,2.53
391.67,2.56
391.82,2.6
391.97,2.62
392.13,2.64
392.28,2.65
392.43,2.65
392.58,2.65
392.73,2.65
392.89,2.65
393.04,2.64
393.19,2.64
393.34,2.63
393.5,2.63
393.65,2.64
393.8,2.64
393.95,2.63
394.11,2.62
